index,descriptors,relative_frequency
"Merlot, Maule Valley, Central Valley, Chile",raspberry,0.03
"Chardonnay, Hawkes Bay, New Zealand",nectarine,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",plum,0.02
"Chardonnay, Colchagua Valley, Central Valley, Chile",cracker,0.01
"Riesling, Mosel, Germany",herb,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",red_berry,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",leafy,0.02
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",sulfur,0.02
"Riesling, Willamette Valley, Oregon, USA",stone,0.01
"Gruner Veltliner, Burgenland, Austria",bitter_almond,0.03
"Syrah, Monterey, Central Coast, California, USA",dust,0.01
"Riesling, Central Otago, New Zealand",citrus,0.02
"Riesling, Canterbury and Waipara, New Zealand",minerality,0.02
"Cabernet Sauvignon, Coastal Region, South Africa",raspberry,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",orange,0.01
"Chardonnay, Finger Lakes, New York, USA",vanilla,0.01
"Chardonnay, Maule Valley, Central Valley, Chile",pear,0.02
"Cabernet Franc, Columbia Valley, Washington, USA",toast,0.01
"Merlot, Napa Valley, North Coast, California, USA",plum,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",apple,0.02
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",apricot,0.02
"Sauvignon Blanc, Wairarapa, New Zealand",rubber,0.01
"Chardonnay, Marlborough, New Zealand",toasted_nut,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",cooked,0.01
"White Blend, Columbia Valley, Washington, USA",minerality,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",lemon,0.02
"Syrah, Napa Valley, North Coast, California, USA",super_ripe,0.01
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",perfumed,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",flower,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",new_oak,0.01
"Syrah, Inland Valleys, California, USA",wild_berry,0.01
"Syrah, Cachapoal Valley, Central Valley, Chile",flower,0.02
"Pinot Grigio, Columbia Valley, Washington, USA",cataloupe,0.01
"Gruner Veltliner, Niederosterreich, Austria",apricot,0.01
"Chardonnay, Inland Valleys, California, USA",lemon_custard,0.01
"Malbec, Columbia Valley, Washington, USA",earth,0.02
"Pinot Noir, Niederosterreich, Austria",smoke,0.01
"Cabernet Sauvignon, Finger Lakes, New York, USA",blueberry,0.03
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",caramel,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",mint,0.01
"Merlot, Paso Robles, Central Coast, California, USA",chocolate,0.01
"Riesling, Rheinhessen, Germany",honeysuckle,0.02
"Riesling, Rheingau, Germany",stone,0.02
"Pinot Noir, Finger Lakes, New York, USA",musky,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",cola,0.01
"Merlot, Columbia Valley, Washington, USA",earth,0.01
"Pinot Noir, Wairarapa, New Zealand",dust,0.01
"Merlot, Maipo Valley, Central Valley, Chile",mint,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",tire_rubber,0.03
"Cabernet Franc, Long Island, New York, USA",stemmy,0.02
"Sangiovese, Napa Valley, North Coast, California, USA",perfumed,0.02
"Sauvignon Blanc, Coastal Region, South Africa",orange_blossom,0.01
"White Blend, Burgenland, Austria",wild_flower,0.02
"Syrah, Paso Robles, Central Coast, California, USA",bacon,0.01
"Syrah, Columbia Valley, Washington, USA",wild_berry,0.01
"Syrah, Sierra Foothills, California, USA",herb,0.01
"Chardonnay, Paso Robles, Central Coast, California, USA",honeydew,0.01
"Syrah, Southern Oregon, Oregon, USA",plum,0.02
"Syrah, Maipo Valley, Central Valley, Chile",mint,0.04
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",berry,0.01
"Chardonnay, Columbia Valley, Washington, USA",new_oak,0.01
"Chardonnay, Maipo Valley, Central Valley, Chile",pineapple,0.02
"Zinfandel, San Francisco Bay, Central Coast, California, USA",vanilla,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",root,0.02
"Tempranillo, Columbia Valley, Washington, USA",burnt,0.02
"Tempranillo, Southern Oregon, Oregon, USA",cedar,0.02
"Cabernet Sauvignon, Inland Valleys, California, USA",pepper,0.02
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",jam,0.02
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",gooseberry,0.02
"Merlot, Sonoma Valley, North Coast, California, USA",candy,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",salinity,0.02
"Grenache, Santa Barbara, Central Coast, California, USA",wet_rocks,0.01
"Zinfandel, Inland Valleys, California, USA",toast,0.01
"Merlot, San Francisco Bay, Central Coast, California, USA",juicy,0.02
"Sauvignon Blanc, Monterey, Central Coast, California, USA",new_oak,0.01
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",oily,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",juicy,0.01
"Chardonnay, Long Island, New York, USA",overripe,0.02
"Chardonnay, Sonoma Valley, North Coast, California, USA",peach,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",steak,0.01
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",wood,0.03
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",wood,0.02
"Syrah, San Luis Obispo, Central Coast, California, USA",asphalt,0.01
"Riesling, Niederosterreich, Austria",tropical_fruit,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",plum,0.01
"Riesling, Santa Barbara, Central Coast, California, USA",honeysuckle,0.02
"Zinfandel, Columbia Valley, Washington, USA",citrus,0.01
"Zinfandel, Sierra Foothills, California, USA",super_ripe,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",pyrazines,0.02
"Chardonnay, Willamette Valley, Oregon, USA",lees,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",overripe,0.01
"Pinot Noir, Marlborough, New Zealand",black_cherry,0.01
"Grenache, Paso Robles, Central Coast, California, USA",earth,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",minerality,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",herbacious,0.01
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",oak,0.02
"White Blend, Coastal Region, South Africa",oil,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",rose,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",juicy,0.01
"Viognier, Paso Robles, Central Coast, California, USA",mineral,0.01
"Viognier, Columbia Valley, Washington, USA",french_oak,0.02
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",apple,0.01
"Viognier, Sierra Foothills, California, USA",jam,0.02
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",smoke,0.01
"Merlot, Napa-Sonoma, North Coast, California, USA",vegetal,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",candy,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",toast,0.01
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",berry,0.01
"Merlot, Long Island, New York, USA",underripe,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",honey,0.01
"Pinot Noir, San Benito, Central Coast, California, USA",plum,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",game,0.02
"Petite Sirah, Inland Valleys, California, USA",toast,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",apricot,0.01
"Sangiovese, Columbia Valley, Washington, USA",juicy,0.01
"Merlot, Galilee, Israel",raspberry,0.02
"Pinot Noir, San Antonio, Aconcagua Region, Chile",juicy,0.03
"Viognier, Sonoma Valley, North Coast, California, USA",earth,0.02
"Cabernet Sauvignon, Columbia Valley, Washington, USA",earth,0.02
"Sauvignon Blanc, Marlborough, New Zealand",peach,0.02
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",apricot,0.02
"Syrah, Galilee, Israel",licorice,0.02
"White Blend, Macedonia, Greece",minerality,0.03
"Chardonnay, Burgenland, Austria",pineapple,0.02
"Pinot Noir, Paso Robles, Central Coast, California, USA",currant,0.02
"Riesling, Monterey, Central Coast, California, USA",chalk,0.01
"Pinot Noir, Southern Oregon, Oregon, USA",musky,0.01
"Malbec, Colchagua Valley, Central Valley, Chile",prune,0.02
"Riesling, Finger Lakes, New York, USA",lemon,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",burnt,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",barbecue,0.01
"Pinot Grigio, Monterey, Central Coast, California, USA",jasmine,0.02
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",rocky,0.02
"Pinot Grigio, Finger Lakes, New York, USA",stone,0.04
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",grapefruit,0.02
"Bordeaux-style Red Blend, Coastal Region, South Africa",oak,0.02
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",red_fruit,0.02
"Riesling, Pfalz, Germany",spring_flower,0.02
"Chardonnay, Gisborne, New Zealand",fruit,0.02
"Merlot, Santa Barbara, Central Coast, California, USA",pastry,0.01
"Cabernet Sauvignon, Long Island, New York, USA",currant,0.03
"Syrah, Hawkes Bay, New Zealand",pastry,0.02
"Grenache, Columbia Valley, Washington, USA",candy,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",bacon,0.01
"Cabernet Sauvignon, Galilee, Israel",raspberry,0.02
"Chardonnay, Monterey, Central Coast, California, USA",toast,0.01
"Riesling, Nahe, Germany",blossom,0.01
"Petite Sirah, Sonoma Valley, North Coast, California, USA",feral,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",apricot,0.01
"Sauvignon Blanc, Columbia Valley, Washington, USA",apple,0.01
"Sauvignon Blanc, Sierra Foothills, California, USA",ripe,0.02
"Sauvignon Blanc, Steiermark, Austria",lees,0.01
"Pinot Noir, Central Otago, New Zealand",jam,0.01
"Sauvignon Blanc, Nelson, New Zealand",perfumed,0.02
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",funky,0.02
"Cabernet Franc, Finger Lakes, New York, USA",grain,0.02
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",jam,0.02
"Merlot, Coastal Region, South Africa",savory,0.02
"Riesling, Columbia Valley, Washington, USA",grapefruit,0.01
"Chardonnay, Napa Valley, North Coast, California, USA",super_ripe,0.01
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",unripe,0.01
"Syrah, Coastal Region, South Africa",ripe,0.02
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",flower,0.01
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",over-oaked,0.03
"Chardonnay, Coastal Region, South Africa",savory,0.02
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",fruit-forward,0.02
"Merlot, Colchagua Valley, Central Valley, Chile",menthol,0.02
"Petite Sirah, Sierra Foothills, California, USA",milk_chocolate,0.02
"Riesling, Marlborough, New Zealand",kiwi,0.01
"Merlot, Monterey, Central Coast, California, USA",burnt,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",herb,0.01
"Pinot Grigio, Marlborough, New Zealand",mint,0.03
"Syrah, Colchagua Valley, Central Valley, Chile",inky,0.03
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",apricot,0.02
"Merlot, Maule Valley, Central Valley, Chile",flower,0.03
"Chardonnay, Hawkes Bay, New Zealand",minerality,0.01
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",zest,0.02
"Chardonnay, Colchagua Valley, Central Valley, Chile",citrus,0.01
"Riesling, Mosel, Germany",spice,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",juicy,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",strawberry,0.01
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",stalky,0.02
"Riesling, Willamette Valley, Oregon, USA",minerality,0.01
"Syrah, Monterey, Central Coast, California, USA",blueberry,0.01
"Riesling, Central Otago, New Zealand",pear,0.02
"Cabernet Sauvignon, Coastal Region, South Africa",licorice,0.02
"Pinot Grigio, Willamette Valley, Oregon, USA",mineral,0.01
"Chardonnay, Finger Lakes, New York, USA",peach,0.01
"Chardonnay, Maule Valley, Central Valley, Chile",candy,0.02
"Cabernet Franc, Columbia Valley, Washington, USA",rose,0.01
"Merlot, Napa Valley, North Coast, California, USA",dust,0.01
"Viognier, Santa Barbara, Central Coast, California, USA",super_ripe,0.02
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",spearmint,0.01
"Sauvignon Blanc, Wairarapa, New Zealand",currant,0.01
"Chardonnay, Marlborough, New Zealand",toasted_hazelnut,0.02
"Syrah, San Francisco Bay, Central Coast, California, USA",oak,0.01
"White Blend, Columbia Valley, Washington, USA",pear,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",buttery_toast,0.02
"Syrah, Napa Valley, North Coast, California, USA",mint,0.01
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",raisin,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",smoke,0.02
"Chardonnay, San Luis Obispo, Central Coast, California, USA",kiwi,0.01
"Syrah, Inland Valleys, California, USA",root,0.01
"Syrah, Cachapoal Valley, Central Valley, Chile",grapey,0.02
"Pinot Grigio, Columbia Valley, Washington, USA",apricot,0.01
"Gruner Veltliner, Niederosterreich, Austria",grapefruit,0.01
"Chardonnay, Inland Valleys, California, USA",flower,0.01
"Malbec, Columbia Valley, Washington, USA",clove,0.01
"Pinot Noir, Niederosterreich, Austria",pepper,0.01
"Cabernet Sauvignon, Finger Lakes, New York, USA",blackberry,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",toast,0.02
"Pinot Noir, Monterey, Central Coast, California, USA",currant,0.01
"Merlot, Paso Robles, Central Coast, California, USA",vanilla,0.01
"Riesling, Rheinhessen, Germany",earth,0.02
"Riesling, Rheingau, Germany",dust,0.02
"Pinot Noir, Finger Lakes, New York, USA",blueberry,0.03
"Pinot Noir, Santa Barbara, Central Coast, California, USA",mushroom,0.01
"Merlot, Columbia Valley, Washington, USA",vanilla,0.01
"Pinot Noir, Wairarapa, New Zealand",cocoa,0.01
"Merlot, Maipo Valley, Central Valley, Chile",leafy,0.02
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",wild_berry,0.03
"Cabernet Franc, Long Island, New York, USA",steel,0.02
"Sangiovese, Napa Valley, North Coast, California, USA",cheese,0.02
"Sauvignon Blanc, Coastal Region, South Africa",lime,0.01
"White Blend, Burgenland, Austria",honey,0.02
"Syrah, Paso Robles, Central Coast, California, USA",earth,0.01
"Syrah, Columbia Valley, Washington, USA",blueberry,0.01
"Syrah, Sierra Foothills, California, USA",honey,0.01
"Chardonnay, Paso Robles, Central Coast, California, USA",grapefruit,0.01
"Syrah, Southern Oregon, Oregon, USA",stemmy,0.02
"Syrah, Maipo Valley, Central Valley, Chile",ripe,0.02
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",funky,0.01
"Chardonnay, Columbia Valley, Washington, USA",lemon,0.01
"Chardonnay, Maipo Valley, Central Valley, Chile",overripe,0.02
"Zinfandel, San Francisco Bay, Central Coast, California, USA",juicy,0.02
"Tempranillo, Columbia Valley, Washington, USA",earth,0.02
"Tempranillo, Southern Oregon, Oregon, USA",strawberry,0.02
"Cabernet Sauvignon, Inland Valleys, California, USA",overripe,0.02
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",citrus,0.02
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",fruit,0.02
"Merlot, Sonoma Valley, North Coast, California, USA",pepper,0.01
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",apple_sauce,0.02
"Grenache, Santa Barbara, Central Coast, California, USA",earth,0.01
"Zinfandel, Inland Valleys, California, USA",savory,0.01
"Merlot, San Francisco Bay, Central Coast, California, USA",dust,0.02
"Sauvignon Blanc, Monterey, Central Coast, California, USA",burnt,0.01
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",soapy,0.02
"Syrah, Sonoma Valley, North Coast, California, USA",unripe,0.01
"Chardonnay, Long Island, New York, USA",dill,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",orange,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",raisin,0.01
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",cassis,0.03
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",flower,0.02
"Syrah, San Luis Obispo, Central Coast, California, USA",leather,0.01
"Riesling, Niederosterreich, Austria",stone,0.01
"Zinfandel, Paso Robles, Central Coast, California, USA",caramel,0.01
"Zinfandel, Columbia Valley, Washington, USA",currant,0.01
"Zinfandel, Sierra Foothills, California, USA",coffee,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",orange,0.01
"Chardonnay, Willamette Valley, Oregon, USA",pear,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",spice,0.01
"Pinot Noir, Marlborough, New Zealand",dust,0.01
"Grenache, Paso Robles, Central Coast, California, USA",candy,0.02
"Pinot Noir, Sonoma Valley, North Coast, California, USA",cranberry,0.01
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",raspberry,0.01
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",pear,0.02
"White Blend, Coastal Region, South Africa",lemon,0.02
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",overripe,0.01
"Zinfandel, Sonoma Valley, North Coast, California, USA",savory,0.01
"Viognier, Paso Robles, Central Coast, California, USA",minerality,0.01
"Viognier, Columbia Valley, Washington, USA",lees,0.01
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",passion_fruit,0.01
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",plum,0.01
"Merlot, Napa-Sonoma, North Coast, California, USA",juicy,0.01
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",overripe,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",bramble,0.01
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",inky,0.01
"Merlot, Long Island, New York, USA",jam,0.02
"Petite Sirah, Napa Valley, North Coast, California, USA",cassis,0.01
"Pinot Noir, San Benito, Central Coast, California, USA",smoke,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",jam,0.02
"Petite Sirah, Inland Valleys, California, USA",funky,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",spice,0.01
"Sangiovese, Columbia Valley, Washington, USA",pine,0.01
"Merlot, Galilee, Israel",herb,0.02
"Pinot Noir, San Antonio, Aconcagua Region, Chile",tea,0.03
